Date,PM2.5 Anand vihar,PM2.5 Bawana,PM2.5 DTU,PM2.5 Vivek Vihar
01-12-2015,259.23,0.0,0,0
02-12-2015,228.01,0.0,0,0
03-12-2015,271.6,0.0,0,0
04-12-2015,287.07,0.0,0,0
05-12-2015,349.46,0.0,0,0
06-12-2015,283.32,0.0,0,0
07-12-2015,362.2,0.0,0,0
08-12-2015,476.98,0.0,0,0
09-12-2015,353.83,0.0,0,0
10-12-2015,272.01,0.0,0,0
11-12-2015,270.11,0.0,0,0
12-12-2015,268.74,0.0,0,0
13-12-2015,213.81,0.0,0,0
14-12-2015,193.17,0.0,0,0
15-12-2015,0,0.0,0,0
16-12-2015,0,0.0,0,0
17-12-2015,0,0.0,0,0
18-12-2015,0,0.0,0,0
19-12-2015,0,0.0,0,0
20-12-2015,0,0.0,0,0
21-12-2015,0,0.0,0,0
22-12-2015,463.21,0.0,0,0
23-12-2015,478.01,0.0,0,0
24-12-2015,199,0.0,0,0
25-12-2015,188.87,0.0,0,0
26-12-2015,209.67,0.0,0,0
27-12-2015,215.43,0.0,0,0
28-12-2015,202.83,0.0,0,0
29-12-2015,194,0.0,0,0
30-12-2015,287.57,0.0,0,0
31-12-2015,293.47,0.0,0,0
01-01-2016,360.81,0.0,0,0
02-01-2016,327.92,0.0,0,0
03-01-2016,341.32,0.0,0,0
04-01-2016,480.07,0.0,0,0
05-01-2016,433.35,0.0,0,0
06-01-2016,371.8,0.0,0,0
07-01-2016,468.02,0.0,0,0
08-01-2016,519.59,0.0,0,0
09-01-2016,169.49,0.0,0,0
10-01-2016,281.57,0.0,0,0
11-01-2016,413.43,0.0,0,0
12-01-2016,286.47,0.0,0,0
13-01-2016,313.12,0.0,0,0
14-01-2016,259.66,0.0,0,0
15-01-2016,182.75,0.0,0,0
16-01-2016,143.24,0.0,0,0
17-01-2016,200.17,0.0,0,0
18-01-2016,338.49,0.0,0,0
19-01-2016,322.07,0.0,0,0
20-01-2016,307.6,0.0,0,0
21-01-2016,234.43,0.0,0,0
22-01-2016,301.62,0.0,0,0
23-01-2016,361.85,0.0,0,0
24-01-2016,388.78,0.0,0,0
25-01-2016,276.25,0.0,0,0
26-01-2016,376.13,0.0,0,0
27-01-2016,332.5,0.0,0,0
28-01-2016,351.51,0.0,0,0
29-01-2016,392.75,0.0,0,0
30-01-2016,348.4,0.0,0,0
31-01-2016,0,0.0,0,0
01-02-2016,0,0.0,0,0
02-02-2016,0,0.0,0,0
03-02-2016,113.95,0.0,0,0
04-02-2016,144.67,0.0,0,0
05-02-2016,262.94,0.0,0,0
06-02-2016,416.39,0.0,0,0
07-02-2016,168.67,0.0,0,0
08-02-2016,117.7,0.0,0,0
09-02-2016,172.17,0.0,0,0
10-02-2016,260.17,0.0,0,0
11-02-2016,218.93,0.0,0,0
12-02-2016,193.58,0.0,0,0
13-02-2016,147.24,0.0,0,0
14-02-2016,89.88,0.0,0,0
15-02-2016,123.71,0.0,0,0
16-02-2016,139.89,0.0,0,0
17-02-2016,131.88,0.0,0,0
18-02-2016,160.49,0.0,0,0
19-02-2016,211.15,0.0,0,0
20-02-2016,192.44,0.0,0,0
21-02-2016,69.52,0.0,0,0
22-02-2016,96.64,0.0,0,0
23-02-2016,0,0.0,0,0
24-02-2016,79,0.0,0,0
25-02-2016,166.81,0.0,0,0
26-02-2016,0,0.0,0,0
27-02-2016,0,0.0,0,0
