From Date,PM10,NO,NO2,WS,CO,Benzene,NOx,Ozone,SO2,NH3,Toluene,PM2.5
01-01-2019 00:00,697.62,234.55,121.89,0.88,2.37,8.69,255.98,3.16,25.09,86.26,65.23,499.38
01-01-2019 08:00,510.75,74.5,80.12,1.15,1.94,6.52,103.39,31.46,25.51,76.83,100.86,303.44
01-01-2019 16:00,592.58,162.01,100.79,0.92,2.57,11.38,185.57,6.85,22.58,73.48,73.38,399.81
02-01-2019 00:00,799.69,287.84,110.89,0.79,3.89,13.35,293.71,3.9,25.38,86.29,67.98,566.31
02-01-2019 08:00,610.25,87.11,92.48,1.48,2.45,7.87,120.23,33.13,25.4,100.69,39.96,373.56
02-01-2019 16:00,762.27,200.93,114.6,0.59,3.07,12.64,225.26,6.47,21.47,111.89,92.8,466.56
03-01-2019 00:00,838.6,195.43,90.56,0.9,4.18,11.29,207.7,3.76,18.75,114.84,93.56,648.19
03-01-2019 08:00,677,46.7,78.5,1.64,2.34,7.53,79.82,22.83,21.99,98.66,59.08,448.25
03-01-2019 16:00,509,18.24,83.74,1.38,1.92,5.74,59.4,7.63,16.42,91.29,35.6,364.75
04-01-2019 00:00,376.56,23.24,52.54,1.42,1.67,4.44,46.94,4.5,12.66,81.83,37.24,283.62
04-01-2019 08:00,393.62,25.67,66.14,1.09,1.55,5.06,56.07,15.17,16.2,82.58,38.85,241.94
04-01-2019 16:00,617.25,113.43,88.33,0.9,2.37,12.3,139.46,4.02,18.58,79.25,99.57,437.44
05-01-2019 00:00,592.5,180.86,93.39,1.32,2.42,10.44,197.05,16.44,19.65,79.89,60.43,436.12
05-01-2019 08:00,447.94,56.62,64.06,2.28,1.78,6.64,80.25,17.55,19.33,79.13,36.13,240.88
05-01-2019 16:00,674.25,89.97,90.44,1.26,2.32,13.03,121.41,12,20.66,95.11,77.08,360.06
06-01-2019 00:00,340.81,54.05,65.01,1.76,2.15,6.28,78.56,6.39,15.76,93.25,34.84,244.88
06-01-2019 08:00,205.75,33.39,57.1,1.26,1.24,3.4,57.61,19.15,16.69,95.23,37.18,141.25
06-01-2019 16:00,301.78,39.58,66.67,1.16,1.48,5.61,67.7,5.34,15.11,93.46,53.19,202.62
07-01-2019 00:00,272.97,71.94,54.8,1.13,1.26,4.12,87.8,3.43,14.09,87.4,31.48,199.25
07-01-2019 08:00,355.59,53.8,62.32,1.65,1.44,3.91,77.07,17.61,17.59,92.68,42.03,235.41
07-01-2019 16:00,369.38,52.22,73.23,1.37,1.74,4.73,81.53,5.88,15.37,92.48,66.27,224.66
08-01-2019 00:00,282.66,34.27,47.42,1.18,1.4,2.76,53.17,3.65,13.9,86.11,30.56,211.5
08-01-2019 08:00,281.47,17.34,44.31,1.91,1.47,2.68,37.72,24.21,16.35,84.23,27.88,155.88
08-01-2019 16:00,279.31,18.01,63.77,1.51,2.31,2.72,48.56,9.06,15.38,82.75,22.25,179.56
09-01-2019 00:00,270.66,12.23,45.74,1.63,1.27,3.57,34.3,8,12.9,77.5,17.54,205.5
09-01-2019 08:00,253.16,10.68,43.05,2.59,1.19,2.34,31.59,31.57,16.26,72.36,19.63,123.72
09-01-2019 16:00,277.25,23.45,65.74,1.43,1.26,3.06,54.11,8.67,16.51,76.16,33.05,157.62
10-01-2019 00:00,265.12,16.39,52.13,1.24,1.25,2.72,41.16,7.48,15.81,76.31,30.12,187.03
10-01-2019 08:00,347.84,15.47,53.33,1.68,1.39,3.68,40.98,28.43,20.89,76.83,70.06,188.09
10-01-2019 16:00,436.47,124.88,75.84,0.91,1.88,6.63,142.29,7.1,19.42,78.72,78.76,212.19
