From Date,PM10,NO,NO2,WS,CO,Benzene,NOx,Ozone,SO2,NH3,Toluene,PM2.5
01-01-2019 00:00,493.12,82.15,42.34,0.61,2.05,None,88.96,3.48,16.5,69.74,None,135.12
01-01-2019 08:00,499.12,18.83,38.32,0.77,1.5,None,35.72,55.03,18.1,77.64,None,136.75
01-01-2019 16:00,578.2,71.23,83.41,0.53,3.93,None,102.47,22.29,20.9,75.58,None,181.5
02-01-2019 00:00,713.75,48.35,66.03,0.79,2.74,None,74.55,5.8,17.82,80.85,None,184.38
02-01-2019 08:00,579.62,11.65,63.58,1.27,1.86,None,43.34,65.72,24.34,80.42,None,145.62
02-01-2019 16:00,541.25,116.03,89.38,0.46,4.36,None,142.08,19.38,21.1,83.8,None,441.62
03-01-2019 00:00,537,37.77,42.23,0.67,2.24,None,53.36,3.56,13.72,79.47,None,156.38
03-01-2019 08:00,489.5,12.15,33.53,1.23,1.81,None,27.77,30.14,17.96,75.82,None,129.88
03-01-2019 16:00,518.91,19.21,57.58,1.03,2.05,None,45.95,16.68,16.7,70.16,None,136.97
04-01-2019 00:00,319.75,5.23,17.48,0.83,1.5,None,13.57,14.27,15.27,53.17,None,95
04-01-2019 08:00,306.81,3.8,24.38,0.84,1.29,None,16.04,21.41,15.75,55.73,None,156.21
04-01-2019 16:00,532.67,53.65,73.46,0.73,2.75,None,82.79,3.53,15.78,50.68,None,407.97
05-01-2019 00:00,516.62,30.67,50.84,1.02,2.33,None,51.97,3.53,14.75,51.2,None,348.84
05-01-2019 08:00,437.56,14.02,51.91,1.95,1.75,None,39.09,3.65,14.67,47.97,None,277.97
05-01-2019 16:00,530.53,11.27,71.49,1.03,2.26,None,47.08,3.69,16.84,50.31,None,302.94
06-01-2019 00:00,357.72,6.79,46.65,1.76,1.37,None,30.34,3.59,15.88,49.12,None,253.28
06-01-2019 08:00,156.25,1.61,24.98,1.37,0.91,None,14.6,3.6,13.84,43.96,None,117
06-01-2019 16:00,252.72,6.38,48.52,0.83,1.31,None,31.03,3.52,13.91,41.78,None,166.47
07-01-2019 00:00,255.94,13.11,30.04,0.65,1.17,None,26.65,3.67,13.21,37.5,None,176.78
07-01-2019 08:00,292.22,9.49,27.22,1.2,1.15,None,22.22,3.72,17.02,40.38,None,211.53
07-01-2019 16:00,353.19,24.07,61.98,0.85,1.83,None,52.59,3.62,14.53,41.87,131.47,226.5
08-01-2019 00:00,249.44,8.67,28.55,0.72,1.16,None,22.26,3.62,15.42,39.59,None,179.22
08-01-2019 08:00,235.91,6.68,24.07,1.15,0.98,None,18.26,36.36,15.14,38.39,None,160.62
08-01-2019 16:00,317.8,14.18,53.79,0.91,1.5,None,40.17,12.55,17.82,42.41,None,208.34
09-01-2019 00:00,326.81,4.67,33.63,0.81,1.32,None,21.69,5.59,14.92,40.24,None,239.41
09-01-2019 08:00,222.16,3.79,24.78,1.53,0.9,None,16.28,51.46,14.71,31.67,None,129.22
09-01-2019 16:00,330.91,20.02,54.58,0.8,1.72,None,45.33,16.22,23.2,39.8,None,215.72
10-01-2019 00:00,261.09,6.03,37.94,0.73,1.35,None,25.08,4.89,17.82,35.6,None,197.38
10-01-2019 08:00,251.78,4.36,26.28,1.13,0.95,None,17.54,55.91,18.97,33.62,None,169.34
10-01-2019 16:00,545.6,99.77,63.99,0.51,3.39,None,115.29,17.92,20.29,44.89,298.91,382.59
11-01-2019 00:00,595.97,86.95,46.01,0.55,3.37,None,95.39,4.75,15.32,51.57,254.18,400.09
11-01-2019 08:00,404.72,13.72,45.55,0.85,1.52,None,35.42,57.19,20.55,50.26,137.76,265.62
11-01-2019 16:00,572.5,131.18,105.12,0.44,4.62,None,163.01,32.18,22.38,69.38,346.01,519.66
12-01-2019 00:00,660.27,112.6,65.77,0.37,3.38,None,126.8,5.75,16.65,84.99,338.93,471.91
12-01-2019 08:00,634.5,34.91,127.69,1.01,2.75,None,96.32,61.38,20.72,83.53,188.91,452.91
12-01-2019 16:00,652.53,33.92,106.81,0.53,3.21,None,84.42,42.73,16.4,64.3,169.75,422.34
13-01-2019 00:00,500.62,40.67,64,1.13,2.29,None,67.53,16.25,16.73,74.28,235.14,345.12
13-01-2019 08:00,384.66,4.53,43.15,0.89,1.49,None,26.68,83.22,19.26,64.72,None,266.72
13-01-2019 16:00,321.84,1.45,46.19,1.45,1.27,None,25.74,42.66,17.37,54.13,183.31,221.59
14-01-2019 00:00,155.91,1.95,30.17,1.13,0.8,None,17.64,18.59,15.66,45.09,None,122.25
14-01-2019 08:00,183.78,2.74,25.07,1.49,0.66,None,15.57,73.03,16.1,36.6,None,105.25
14-01-2019 16:00,262.06,7.9,58.48,1.15,1.18,None,37.45,28.08,17.24,42.67,None,169.56
15-01-2019 00:00,199.91,2.06,38.23,0.93,1.01,None,22.01,15.11,19.9,37.8,None,154.84
15-01-2019 08:00,219.59,3.81,31.04,1.4,0.85,None,19.61,59.51,19.89,34.09,None,148.69
15-01-2019 16:00,451.5,68.76,71.61,0.71,2.33,None,93.99,13.53,21.51,46.98,None,305.59
