From Date,PM10,NO,NO2,WS,CO,Benzene,NOx,Ozone,SO2,NH3,Toluene,PM2.5
01-01-2019 00:00,523.31,29.92,36.59,0.62,3.24,19.57,43.41,48.06,9.3,20.84,94.81,338.75
01-01-2019 08:00,468,14.81,39.66,0.68,2.16,15.59,33.01,70.08,26.94,19.32,54.71,278.69
01-01-2019 16:00,472.94,39.34,43,0.6,3.19,11.73,54.33,56.17,15.09,22.52,55.65,275.38
02-01-2019 00:00,690.06,44.11,38.72,0.4,6.28,37.3,55.89,48.69,11.35,22.68,121.91,455.03
02-01-2019 08:00,513.88,14.96,47.09,0.71,3.09,21.3,37.02,65.93,25.52,19.97,58.5,307.28
02-01-2019 16:00,491.53,21.97,42.77,0.57,3.17,13.65,40.32,53.25,13.17,20.52,63.27,288.69
03-01-2019 00:00,720.47,37.4,36.63,0.64,6.12,31.01,49.41,48.13,11.72,21.7,238.5,465.91
03-01-2019 08:00,606.47,13.78,38.39,0.98,2.67,15.32,31.44,64.78,21.02,19.09,71.78,391.09
03-01-2019 16:00,446.72,14.25,61.39,0.63,2.01,9.01,44.06,47.98,13.42,21.89,30.64,286.84
04-01-2019 00:00,366.59,17.22,47.86,0.68,1.73,10.34,39.24,36.91,9.85,20.99,28.67,210.62
04-01-2019 08:00,276.16,17.6,55.81,0.56,1.34,8.06,43.78,46.93,12.34,21.71,29.04,160.66
04-01-2019 16:00,535.16,53.73,66.55,0.47,3.23,13.9,78.38,35.66,11.54,26.82,73.18,315.34
05-01-2019 00:00,465.47,56.85,55,0.41,2.76,18.84,74.73,32.15,11.99,26.43,80.05,289.19
05-01-2019 08:00,347.22,26.56,72.23,0.89,1.91,15.59,59.67,52.48,20.8,24.17,42.01,210.06
05-01-2019 16:00,452.03,45.18,87.22,0.59,3.05,14.42,82.54,42.98,14.17,27.65,80.7,241.41
06-01-2019 00:00,373.22,33.89,62.64,0.41,2.11,19.54,60.51,39.87,13.72,24.28,76.64,232.69
06-01-2019 08:00,143.03,11.65,43.21,0.87,0.51,5.2,32.3,69.12,12.58,19.92,24.99,97.97
06-01-2019 16:00,217.69,19.5,59.39,0.48,0.98,5.03,47.18,37.91,9.62,22.08,35.39,138.72
07-01-2019 00:00,220.47,31.73,45.02,0.46,1.06,7.31,49.32,30.73,8.41,22.44,43.97,139.28
07-01-2019 08:00,284.42,23.58,50.7,0.57,1.15,9.18,45.22,57.72,19.98,26.97,33.27,186.19
