From Date,PM10,NO,NO2,WS,CO,Benzene,NOx,Ozone,SO2,NH3,Toluene,PM2.5
19-01-2019 00:00,649.53,None,None,0.3,None,20.9,None,12.37,6.14,None,60.69,381.16
19-01-2019 08:00,445.09,0.3,0.43,0.51,1.6,11.65,0.48,12.86,9.98,0.17,40.3,283.91
19-01-2019 16:00,656.6,224.91,217.13,0.3,5.32,20.58,268.99,17.09,23.3,71.67,104.58,370.41
20-01-2019 00:00,776.33,None,171.29,0.3,3.69,28.99,None,98.13,14,85.91,126.82,601.88
20-01-2019 08:00,549.19,84.21,239.05,0.57,2.57,15.67,191.3,54.52,19.3,112.4,81.12,344.56
20-01-2019 16:00,567.34,197.18,188.89,0.34,None,14.5,261.89,14.88,20.99,115.95,95.52,256.22
21-01-2019 00:00,461.12,172.34,124.57,0.41,None,13.72,204.05,16.41,6.1,108.38,110.21,280.19
21-01-2019 08:00,328.12,28.22,92.29,2.91,1.33,7.81,72.08,13.57,9.75,110.04,32.54,155.28
21-01-2019 16:00,160.31,36.39,75.03,3.52,1.79,3.05,69.58,15.67,5.76,35.92,29.99,71.88
22-01-2019 00:00,56.28,11.37,57.23,2.16,None,1.91,39.7,12.05,4.39,40.41,38.65,51.22
22-01-2019 08:00,68.22,39.29,74.62,1.47,4.74,3.45,71.73,12.52,6.13,43.06,34.78,52.5
22-01-2019 16:00,91.94,43.78,68.31,0.69,5.08,4.68,70.25,27.34,6.6,45.88,50.98,66.31
23-01-2019 00:00,186.72,179.68,39.92,0.32,None,7.66,167.74,19.31,8.04,48.61,35.39,138.75
23-01-2019 08:00,225.28,99.22,132.61,0.82,None,10.02,151.44,13.28,6.3,48.41,45.22,152.44
23-01-2019 16:00,443.84,234.18,113.25,0.35,None,17.48,251.2,12.9,10.56,52.92,64.86,209.47
24-01-2019 00:00,305.53,83.73,65.03,0.3,3.38,10.05,102.9,12.61,5.39,53.56,42.6,183.72
24-01-2019 08:00,217.78,38.76,81.2,1.12,4.24,6.25,74.78,42.34,12.72,49.62,53.83,131.94
24-01-2019 16:00,215.81,101.56,79.52,1.16,0.01,6.01,125.06,12.03,7.23,47.48,41.06,86.25
25-01-2019 00:00,90.88,59.38,58.06,0.47,7.21,3.43,79.35,12.02,4.08,46.71,28.63,61.47
25-01-2019 08:00,152.88,66.5,90.12,0.83,5.17,4.14,102.35,13.54,7.54,46.38,38.53,73.84
25-01-2019 16:00,228.19,96.48,93.44,0.81,2.57,6.55,128.37,11.76,6.48,50.68,47.06,100.59
