From Date,PM10,NO,NO2,WS,CO,Benzene,NOx,Ozone,SO2,NH3,Toluene,PM2.5
01-01-2019 00:00,501.38,87.05,55.35,None,None,10.34,100.45,3.46,9.01,45.94,53,322.5
01-01-2019 08:00,437.56,41.79,61.54,2.57,None,7.61,66.78,41.84,16.78,45.54,27.23,258.31
01-01-2019 16:00,537.2,204.47,66,None,None,12.89,201.72,14.34,19.79,49.53,92.97,379
02-01-2019 00:00,710.56,211.96,54.26,None,None,17.26,201.53,4.91,9.28,55.21,101.53,455.19
02-01-2019 08:00,511.69,39.9,63.35,None,None,8.93,66.17,35.3,20.45,55.76,44.72,304.19
02-01-2019 16:00,618.88,216.42,76.27,None,None,12.54,217,7.24,18.25,55.95,103.9,313.69
03-01-2019 00:00,709.88,170.28,61.07,None,None,17.22,171.35,3.38,6.92,55.15,110.14,480.12
03-01-2019 08:00,481.62,20.87,56.48,None,None,7.99,47.06,28.75,18,48.21,42.09,325
03-01-2019 16:00,424.31,7.77,59.12,None,None,7.65,37.78,14.15,11.56,45.34,34.65,293
04-01-2019 00:00,357.5,13.74,43.03,None,None,6.56,34.11,3.61,7.46,41.46,22.1,252.56
04-01-2019 08:00,353.25,12.89,46.6,None,None,5.76,35.3,20.13,15.11,43.11,19.33,217.31
04-01-2019 16:00,538.64,72.27,51.87,None,None,13.14,89.92,12.15,11.42,51.07,66.67,369.31
05-01-2019 00:00,479.88,46.79,33.52,None,None,11.29,55.99,29.78,10.72,53.7,57.32,317.56
05-01-2019 08:00,326.81,16.61,53.01,None,None,6.25,41.37,33.16,16.96,58.97,32.33,207.12
05-01-2019 16:00,558.69,67.44,85.75,None,None,16.14,100.58,71.81,52.66,87.22,75.41,326.38
06-01-2019 00:00,329,8.93,47.43,None,None,7.83,33.13,18.22,30.9,63.9,28.68,238.5
06-01-2019 08:00,194.94,7.82,35.99,None,None,4.48,25.52,24.55,13.85,50.32,12.21,142.19
06-01-2019 16:00,375,32.21,63.21,None,None,8.34,59.9,6.97,11.77,54.24,37.88,250.06
07-01-2019 00:00,240.88,20.24,37.6,None,None,4.19,36.49,0.73,15.64,52.95,16.77,163.75
07-01-2019 08:00,267.69,11.12,42.16,None,None,5.03,31.39,38.63,28.39,55.55,14.38,178.31
07-01-2019 16:00,314.59,13.03,64.92,None,None,7.96,45.14,12.28,23.67,46.71,58.34,190.69
08-01-2019 00:00,188.31,9.21,39.34,None,None,4.22,28.39,6.49,11.89,43.88,12.17,132.56
08-01-2019 08:00,225.31,6.66,34.34,None,None,3.52,23.72,53.38,15.07,42.07,10.82,143.81
08-01-2019 16:00,272.38,8.59,65.67,None,None,7.58,41.9,19.26,21.19,46.84,35.67,167.38
09-01-2019 00:00,242,5.24,49.16,None,None,4.44,30.4,10.91,14.74,46.62,9.54,173.25
09-01-2019 08:00,213.19,4.51,33.22,None,None,2.97,21.37,76.6,18.03,35.42,11.88,107.88
09-01-2019 16:00,267.75,12.02,70.49,None,None,8.45,47.27,20.54,17.21,40.38,40.49,143.81
10-01-2019 00:00,238.5,16.09,59.43,None,None,5.85,44.72,4,15.28,45.76,12.27,165.69
10-01-2019 08:00,272.69,11.46,51.43,None,None,5.17,36.74,74.95,21.09,42.87,14.86,157.25
10-01-2019 16:00,434.06,118.58,75.46,None,None,10.79,136.8,19.88,20.46,43.81,57.01,225.31
11-01-2019 00:00,429.88,47.67,52.82,None,None,11.37,66.97,3,9.77,57.23,25.78,300.31
11-01-2019 08:00,431.06,12.96,66.89,2.31,None,7.08,46.16,79.75,64.29,53.73,20.05,278.62
11-01-2019 16:00,636.19,302.3,99.07,1.95,None,17.78,299.16,29.87,22.77,46.07,105.6,300.47
12-01-2019 00:00,701.55,195.69,66.28,1.53,None,22.04,194.75,3.98,9.77,67.17,81.56,607.78
12-01-2019 08:00,449.78,39.43,84.41,2.3,None,8.68,77.09,86.49,22.71,53.55,40.77,293.03
12-01-2019 16:00,617.38,256.98,91.64,1.96,None,17.06,272.22,19.49,19.23,49.34,105.83,296.25
13-01-2019 00:00,593.21,125.91,65.69,1.94,None,15.17,137.63,17.46,26.26,62.19,88.91,447.44
13-01-2019 08:00,402.44,10.86,50.28,2.08,None,6.85,35.59,103.04,38.04,55.85,16.89,264.19
13-01-2019 16:00,312.44,3.63,59.75,3.03,None,5.2,34.75,24.48,19.16,46.88,20.84,197.25
14-01-2019 00:00,128.19,3.32,33.47,3.58,None,2.65,20.49,14.54,20.52,33.5,5.75,84.38
14-01-2019 08:00,192.94,3.98,28.27,4.44,None,2.79,18.25,78.64,17.09,25.94,11.44,83.69
14-01-2019 16:00,205.56,2.52,47.74,4.12,None,4.88,27.5,40.75,17.16,29.87,26.95,81.71
15-01-2019 00:00,169.12,3.06,40.14,3.89,None,3.8,23.92,26.95,16.88,30.34,6.69,None
15-01-2019 08:00,251.81,8.77,45.54,4.25,None,4.86,31.36,53.17,20.71,29.99,15.02,120.27
15-01-2019 16:00,381,62.12,67.39,2.4,None,12.43,86.44,14.23,20.35,35.73,37.25,242.12
16-01-2019 00:00,561.38,102.81,54.87,1.37,None,17.27,113.19,2.05,17.9,47.01,48,385.94
16-01-2019 08:00,354.38,25.38,63.29,2.17,None,5.9,54.34,56.27,39.89,38.77,22.85,208.81
16-01-2019 16:00,716.81,260.32,92.02,2.03,None,14.47,261.17,11.21,30.94,46.12,89.7,340.31
17-01-2019 00:00,690.64,164.1,66.08,1.61,None,19.27,168.76,2.27,12.73,61.36,65.73,526.25
17-01-2019 08:00,514,23.43,62.14,2.12,None,9.36,52.2,84.38,35.75,51.06,22.45,383.94
17-01-2019 16:00,410.25,8.98,74.55,2.78,None,7.16,46.97,19.53,24.71,46.55,32.1,260.44
18-01-2019 00:00,335.38,12.8,57.99,2.34,None,6.19,41.27,1.64,16.75,46.86,18.79,231.94
18-01-2019 08:00,367.88,13.3,59.8,3.33,None,6.06,42.63,62.87,19.38,43.38,17.74,269.88
18-01-2019 16:00,403.31,53.79,77.2,2.22,None,13.93,84.86,20.48,17.63,41,52.59,247
19-01-2019 00:00,409.81,90.2,52.94,2,None,11.27,101.73,1.49,13.72,48.79,40.79,271.06
19-01-2019 08:00,378.81,17.89,62.99,3.02,None,7.71,48.04,79.57,21.45,41.65,21.25,234.31
19-01-2019 16:00,373.57,213.48,95.49,2.05,None,22.54,302.25,18.02,25.07,45.4,122.82,371.44
20-01-2019 00:00,661.33,273.1,65.14,1.66,None,21.92,257.25,36.65,15.58,55.35,108.29,453.5
20-01-2019 08:00,518,66.69,112.2,2.05,None,9.78,113.98,79.82,32.82,54.49,73.98,307.53
20-01-2019 16:00,613.47,243.26,97.6,1.94,None,18.13,250.31,19.95,22.26,48.35,130.5,244.88
21-01-2019 00:00,494.12,126.51,57.61,2,None,13.22,133.81,29.65,22.57,60.25,72,309.5
21-01-2019 08:00,328.25,9.87,47.46,3.18,None,5,33.27,59.03,44.38,45.9,12.97,154.12
21-01-2019 16:00,118.56,3.2,41.88,3.35,None,2.94,24.93,63.44,44.14,33.11,11.78,70.75
22-01-2019 00:00,75.71,2.34,35.52,2.95,None,1.4,20.81,54.94,25.24,23.98,5.67,39.06
22-01-2019 08:00,79.14,8.5,37.87,2.67,None,1.84,27.08,25.96,12.85,22.92,9.83,44.94
22-01-2019 16:00,110.62,3.79,32.4,3,None,3.02,20.32,16.87,11.15,22.36,16.51,66.75
23-01-2019 00:00,None,None,None,None,None,None,None,None,None,None,None,None
23-01-2019 08:00,172,5.61,37.65,2.19,None,3,25.79,27.89,21.77,50.8,14,114.42
23-01-2019 16:00,324.44,50.07,53.87,2.01,None,13.08,69.43,11.59,16.66,36.89,182.72,181.31
24-01-2019 00:00,305.06,33.82,36.92,1.9,None,9.05,47.21,2.14,14.96,34.7,104.65,194.31
24-01-2019 08:00,207.19,12.37,33.49,2.42,None,4.24,28,43.78,16.87,30,46.63,111.25
24-01-2019 16:00,169.25,3.12,38.62,3.12,None,3.84,23.09,21.43,12.25,26.89,67.11,76.38
25-01-2019 00:00,100.06,3.94,29.93,2.43,None,2.67,19.14,20.55,12.24,25.64,35.69,63.5
25-01-2019 08:00,118.19,4.91,27.45,2.29,None,2.66,18.59,53.23,21.27,23.16,34.88,72.38
25-01-2019 16:00,179.75,4.21,41.98,3.02,None,3.23,25.72,24.34,16.47,23.67,57.65,92.44
26-01-2019 00:00,181.69,3.58,33.37,2.86,None,3.07,20.67,16.54,18.36,27.72,51.46,108.25
26-01-2019 08:00,133.94,2.57,22.55,2.94,None,2.36,14.08,75.44,23.25,24.42,31.83,72.56
26-01-2019 16:00,156.06,1.98,35.91,3.41,None,2.75,20.69,41.28,14.41,23.34,31.49,94.14
27-01-2019 00:00,183.66,3.02,32.83,3.06,None,2.72,19.92,23.07,15.88,28.25,31.03,118.22
27-01-2019 08:00,186,4.05,29.47,3.75,None,3.31,18.99,60.44,16.5,24.38,34.32,114.62
27-01-2019 16:00,221.75,5.25,51.79,3.3,None,3.72,31.84,20.79,15.55,26.05,64.38,120.56
28-01-2019 00:00,203.25,4.26,39.5,3.42,None,3.32,24.46,15.93,14.3,27.51,43.69,129.88
28-01-2019 08:00,173.94,4.82,31.72,4.08,None,2.45,20.77,69.47,19.07,23.25,34.03,89.69
28-01-2019 16:00,216.94,6.55,50.92,3.4,None,3.84,32.45,28.45,19.36,26.23,67,116.34
29-01-2019 00:00,234.31,5.69,46.62,3.4,None,3.92,29.43,11.31,20.17,29.5,63.75,153.62
29-01-2019 08:00,204.94,4.52,32.95,3.4,None,3.11,21.21,75.17,20.13,25.38,39.61,118
29-01-2019 16:00,257,22.29,58.96,2.73,None,4.81,49.54,44.82,19.23,29.25,98.75,134
