Temperature,Windspeed
20.524038,5.6884627
19.26673,4.3974586
18.656643,4.285377
19.60498,5.4244876
19.210167,4.6701517
21.13667,10.38437
20.244106,4.7118483
19.47752,4.191773
19.540817,4.3348413
18.802143,4.255109
19.321884,4.455234
19.084305,3.9050999
18.81673,3.7814128
18.395176,3.9911423
18.266914,4.3918667
19.196373,5.247984
18.921652,4.454323
18.583796,3.9261374
18.450483,4.0136347
21.887177,15.622246
20.505276,8.825813
21.230515,6.1743336
21.974983,4.684549
19.808764,3.9308805
22.024916,7.320771
21.440548,5.0822077
20.272875,4.326967
21.840565,5.2068386
21.385357,5.3007936
21.252363,4.8108892
21.418856,4.2097664
19.996876,3.8952873
20.173326,4.443563
19.880983,4.0686865
19.900263,3.9371727
20.666777,4.357662
21.046127,4.5672565
22.52777,6.2257576
23.85067,6.9877305
22.670105,4.8379908
21.438267,4.2769976
21.887413,5.0971565
19.646568,4.199215
21.33011,7.20363
22.295853,7.0509787
22.859728,7.02169
23.853142,4.8560166
23.38533,4.562993
23.73087,5.026068
22.999874,4.6584134
20.813953,4.311156
23.879068,11.205795
22.944319,8.6923275
23.257784,8.014618
24.147865,4.7150764
24.25366,5.3539534
22.21053,4.6009955
20.515863,4.1615934
21.517735,5.4580245
21.335579,7.476587
21.820526,5.868614
23.724205,5.5896883
25.07804,6.724404
25.388632,6.0830884
26.482937,6.108002
25.788324,5.169904
23.979841,4.7941027
21.469662,4.3373213
22.4053,7.4433117
21.28021,6.01221
22.439087,7.5623097
22.342955,4.582784
22.60338,5.007563
22.675219,4.692019
23.504221,6.2375255
22.917002,4.7239614
23.323076,5.0178885
24.549559,6.1769233
25.492184,8.16623
25.683527,6.002364
27.58706,7.4389024
26.699404,5.951331
25.949339,5.55154
27.189604,6.5553036
26.365196,6.0962563
27.727518,7.636777
28.175577,6.6849537
26.269873,5.455443
29.213823,9.984265
29.268028,10.386995
28.653051,9.673866
26.356203,6.751595
27.234001,9.792713
26.155018,8.8711815
25.459806,8.694596
30.326742,9.886955
31.867022,12.248466
