Temperature,Windspeed
18.187515,3.7233253
20.538975,6.6059065
20.175224,5.349158
18.956318,3.8725562
19.73565,4.2654185
21.12222,5.997708
20.027601,4.607769
19.113853,3.8951733
21.42725,6.2445602
20.22937,4.917819
18.206627,3.7520978
19.231905,4.6948447
19.391285,5.2767653
18.401196,4.448537
19.16919,4.546257
18.255806,3.7519832
19.433666,4.9065537
18.753872,4.105319
18.913517,4.244381
21.116531,6.548776
23.127043,8.629809
24.179054,7.7179456
21.906626,4.611197
19.966751,3.916129
20.008554,5.729377
20.25645,8.081795
20.471779,7.1392603
19.51379,4.1594357
18.647959,3.7708445
26.639078,13.528637
22.712587,9.238669
23.469925,9.124573
23.443058,5.294616
21.405289,4.8072515
21.027824,4.324486
21.051035,4.4215465
23.966831,8.453481
22.544437,6.1997747
22.515419,4.9345345
25.636988,8.584816
22.578823,6.092743
22.219849,5.1949325
21.097689,4.2536945
23.209408,9.539293
22.41625,6.8521867
21.116901,5.0211153
22.70919,5.459524
23.127316,7.0639014
21.44776,5.20155
23.234495,6.03332
22.176065,4.771412
22.65183,5.9182067
21.48311,4.4655695
20.001593,4.102741
25.017553,10.84916
24.642962,10.078293
25.857338,8.741527
25.142164,4.8699446
26.398174,7.3675923
24.390982,5.7483616
25.321943,8.110066
24.61672,5.708196
24.460896,5.680032
25.317814,5.3282228
27.92769,10.230977
26.805593,8.056787
24.73822,6.1578135
27.654287,9.933027
23.822035,6.7128158
22.136814,5.723077
23.98472,5.922423
23.456957,6.4505606
25.22246,7.7142954
26.101934,6.561191
25.593365,5.117581
28.346092,9.017697
27.615486,7.553098
25.489462,6.075069
26.444708,6.281745
23.928684,4.8589134
22.502907,4.5877624
23.493244,5.3560963
22.20811,4.7468424
24.590944,7.6527343
25.379112,7.0374603
25.257254,5.7423244
27.909565,8.189069
26.032389,6.4715743
27.51776,8.548262
27.408548,7.180057
30.27231,11.583517
32.847733,12.055053
29.858751,10.464014
31.537205,10.257416
29.18112,9.201559
27.520891,7.2718267
30.288788,10.597348
28.427408,9.046427
31.714462,11.1377735
30.299892,9.620523
31.219687,10.176597
29.777082,9.19377
30.556353,9.977126
29.298496,8.883456
31.559326,11.372847
31.434168,10.195663
30.856533,9.164988
30.306437,8.168209
33.063656,11.697855
30.15117,10.345314
31.988033,11.829294
31.016872,10.069424
31.27751,10.257629
31.963459,9.557167
30.52495,8.543186
31.07142,8.324667
29.261326,8.027303
31.678478,11.110824
31.950981,10.968415
30.906218,9.879377
32.41631,9.243226
32.500237,9.175457
30.624735,8.85525
32.906967,10.943542
33.0495,10.77218
30.920675,9.416907
31.280191,8.667963
31.744688,8.950416
32.60211,10.484527
31.112223,9.518087
32.410824,10.053391
33.05687,9.70568
32.976295,10.045543
31.52035,9.217482
31.221565,8.868579
32.91954,10.382614
30.606956,9.215962
31.34743,9.485691
32.71623,9.88009
32.99827,10.556096
31.240778,9.60023
32.915977,10.4815235
31.113214,9.51038
33.2547,12.136479
31.141235,10.454882
32.50639,11.517791
31.364729,9.917838
32.47661,11.257421
30.700397,9.914639
31.696705,10.843082
31.281794,9.82835
30.496355,8.654773
30.799673,8.105161
32.269493,10.207796
30.962114,9.32427
30.885675,8.894003
32.11007,9.173227
32.06657,9.551455
30.71796,8.863043
31.289381,8.750569
27.946764,8.220544
27.247202,7.7596493
23.232996,5.598254
25.306879,10.865449
24.987642,9.028277
27.003723,11.462345
27.066942,7.030118
30.047218,10.669788
31.085487,10.05444
29.95855,9.024765
27.345823,7.9164114
28.563532,9.697177
24.972736,7.1522465
21.818054,5.3614955
21.9449,4.4364567
21.541859,5.5238585
23.185804,8.016031
23.12985,5.8952494
24.019499,4.999487
25.113184,5.57135
23.584732,4.695573
22.437246,4.4810066
25.18063,9.087673
22.433382,6.540679
24.677837,9.113467
24.722338,6.0453506
24.71045,6.457594
23.84272,4.6805415
25.770987,8.202963
23.628376,6.086708
25.62567,9.801379
24.179623,6.3525777
22.740822,5.6087193
23.64942,4.8959637
22.64694,4.8466563
21.275066,4.401508
20.601135,4.1362023
20.416365,4.467364
18.863863,3.9171252
18.950607,3.99964
21.0337,6.119132
20.445776,4.910507
21.184523,4.904271
19.719082,3.9418273
20.797436,5.1858587
20.934372,5.1726274
22.547113,7.877339
21.04512,4.941062
19.89788,3.9955688
22.927305,7.9567266
21.042374,6.2134724
20.994926,4.85163
20.730455,4.186074
19.382936,3.8713422
19.04918,3.9481666
18.023083,3.6845565
20.383787,6.669191
19.278812,4.661938
17.799114,3.682193
20.746708,6.957054
18.47752,4.815453
21.047134,8.380298
20.506777,6.034842
20.757797,5.777605
21.156742,4.6407485
20.053143,4.105121
20.996506,4.8291674
20.218353,4.1653886
24.905857,11.0469055
26.200811,10.455355
23.281292,6.3891683
24.409882,5.7219377
31.374166,15.060039
27.919115,12.845954
26.656717,9.711107
26.286282,7.9690332
23.164217,5.28929
21.11699,4.895658
23.007244,7.6295333
24.596281,7.992122
24.722464,5.8444843
25.92498,5.65157
26.415186,5.6234703
26.059109,5.092943
24.997866,4.7462797
27.93232,9.86102
27.653805,8.963195
25.081793,6.7724533
25.573343,5.497215
24.683603,5.4119043
24.432955,6.872464
26.389862,7.9839473
24.101753,5.694452
25.065592,6.375566
25.336262,6.8026695
24.23723,6.573854
24.326445,4.7179556
22.549976,4.4897895
25.020811,8.873376
24.684551,8.84652
23.911636,7.111023
25.82394,5.7612185
24.327187,4.819177
22.863037,4.530244
24.637081,7.4054737
26.394136,10.806339
30.216335,13.11401
28.490894,10.029358
30.115602,10.016585
28.29218,8.684146
29.154697,10.471944
26.964014,8.209655
25.191433,6.665628
25.838829,6.2107553
26.374498,8.552015
24.595074,6.6278415
23.031084,5.2068653
21.739086,4.2944016
23.867918,9.915462
22.849224,8.621365
22.189352,5.628241
22.03804,4.4550114
23.189135,6.9544377
22.289965,6.221596
21.185505,4.5674763
22.437738,4.904749
22.680202,5.474339
21.95222,4.7709546
24.35549,7.161769
23.357216,5.4478545
23.21556,4.7547183
23.773108,4.708222
22.296211,4.5296745
23.452349,5.7188826
23.061296,4.7436867
21.242764,4.3881273
25.11903,9.642005
23.105206,7.1299944
22.925789,6.528663
23.38667,4.6216035
25.855637,9.939941
25.111282,7.7469244
25.025396,6.3528576
24.45854,4.8634586
22.909582,4.5396805
25.184282,9.0170555
22.242733,6.1513653
21.665295,4.9899225
20.31506,3.9570339
19.760326,5.3686285
18.709679,4.220083
22.23009,9.0251875
22.99057,8.145601
24.811142,8.708362
23.779724,5.2839932
28.057156,11.022328
25.719864,8.357307
26.059517,9.1410055
25.948751,6.134287
24.476662,4.8383236
24.121557,4.6472564
22.635336,4.492687
21.670143,4.397461
21.281925,4.6356587
24.096989,9.088617
22.240427,6.086218
22.947088,5.5767803
23.95596,5.659491
25.244476,9.123207
23.918068,6.2107625
26.619093,9.064324
23.997616,6.105761
22.323536,5.3672113
21.54935,4.3981338
22.08267,7.5797215
20.916407,5.1109443
23.153402,7.8414307
22.475967,5.5208435
22.241865,5.0284414
21.275326,4.3199115
19.928581,4.007349
18.567139,3.6875043
19.870983,6.145356
19.066803,4.8988867
20.535515,6.52922
19.770485,4.4253626
21.991848,6.9721336
20.378418,4.625206
19.443718,3.9666042
18.300146,3.6041605
18.588282,5.047022
19.432167,6.1976957
19.52509,5.994228
19.767796,4.722366
19.224691,3.959615
18.986202,3.8791828
20.089993,4.8126655
22.046558,7.4842086
21.299084,5.3800974
20.563576,4.279127
23.192652,7.288887
20.543407,4.9849367
19.8111,4.3874397
18.906038,3.7233393
18.22995,4.370011
18.128834,4.190664
18.405495,4.566386
18.251957,4.0632114
17.658653,3.5996053
19.072105,5.033945
17.770538,3.9436173
18.976536,5.221207
18.519094,4.4318957
17.70298,3.7152736
17.380974,3.5380902
19.949808,6.910122
18.367111,4.849534
18.871437,5.106843
19.304102,4.9053392
17.890774,3.9650247
18.120304,4.070847
19.172417,5.09757
18.22433,4.257794
18.955355,4.6243186
18.25055,3.7523234
20.29916,6.135193
18.487423,4.180626
17.527723,3.6361196
17.345968,3.66169
19.329845,6.8521094
19.419312,6.497011
17.533634,4.0307403
19.38862,5.7032356
18.377058,4.5338345
17.21314,3.7149773
23.474482,11.680859
22.679201,9.607328
21.6057,5.9353347
22.594032,4.563192
21.065844,4.340845
19.378174,3.9716768
21.851217,6.5415983
19.829441,4.654292
22.774353,8.373282
26.221682,11.414148
23.728876,8.091384
23.747412,5.8133354
24.842386,6.382565
23.47084,6.021732
23.519463,4.7754436
22.750626,4.521465
22.373438,4.5295167
23.081268,6.276247
21.401108,5.0202556
23.040565,6.060869
22.211914,4.73423
23.629347,7.1796455
21.484158,4.817514
20.475964,4.340478
21.831486,5.6309853
19.739544,4.605927
23.295126,8.703788
23.846315,7.5358524
22.135624,5.068945
27.184584,10.937987
25.409225,8.7640085
23.865883,7.1071134
23.419167,4.8682237
30.367872,14.696521
24.63069,10.484503
27.804756,12.877256
28.331251,10.326205
23.930235,6.542075
27.044905,7.929107
24.736155,6.0634093
23.863443,5.4054885
24.249054,4.842522
23.017056,4.644093
23.396313,4.6624274
24.44861,5.834048
23.856802,4.8911486
23.048035,4.5681257
24.50285,6.4902244
22.213802,5.151308
26.66637,11.514662
25.760576,9.012618
24.77969,7.57475
28.075977,8.654882
28.332884,9.256527
28.118881,8.161008
26.0064,5.764527
26.411915,6.915513
25.496761,6.557653
23.499952,5.4588366
23.715591,4.6213937
26.074924,8.353572
27.28491,9.772298
24.839169,6.957796
25.149574,5.5635195
29.449844,12.129338
28.517874,11.814699
27.88874,9.4447155
28.912836,7.8178973
32.954536,12.845327
27.89485,10.133304
26.62684,8.598839
33.21112,14.58442
27.97637,11.29973
27.628048,9.555543
33.004494,12.137947
32.202305,11.423455
32.77183,11.393882
32.120277,9.344518
32.601624,9.618392
30.524754,8.987793
33.36241,12.667812
30.942549,10.966648
29.546276,9.589017
35.73284,13.802287
32.195404,11.866542
31.217104,10.431138
31.986115,8.888408
32.116848,9.888169
32.44761,10.494389
29.886942,9.623426
32.723335,11.460842
31.53104,10.599819
30.143959,8.9084215
31.35493,8.600224
31.59257,9.295776
32.68856,10.43896
33.06316,10.288779
32.13613,9.491849
35.284397,12.02268
33.10408,10.761792
32.430954,10.219288
30.511604,9.173707
31.305326,10.99132
32.426212,12.447986
31.925814,12.004541
33.75214,10.839013
34.60958,10.633735
31.973259,9.865945
33.19063,10.435348
31.705433,9.757621
31.386648,9.476744
30.92296,8.654651
31.98223,9.9388485
30.768417,9.018013
31.036726,9.084646
34.854675,12.639917
31.792946,10.9614315
32.872078,10.8126
34.983177,10.750908
35.12829,11.994009
32.046227,10.6075
35.242943,12.54974
34.489517,11.728126
31.118536,9.610559
29.920334,8.722806
31.287224,10.786212
29.810602,9.924595
29.156738,9.005886
29.619701,7.536518
30.73018,9.005125
29.809692,8.334574
31.946402,10.600685
29.936049,9.579864
32.365837,11.913102
29.788046,10.224538
25.43897,7.2556586
28.023132,10.318288
24.244598,7.1261687
27.214956,11.631306
26.787264,8.006424
28.731106,9.796648
27.33559,7.5805
27.177185,7.5103564
26.690056,6.3030396
29.21788,10.963701
27.449558,8.692497
26.200966,7.2158194
27.485342,7.994091
29.025229,11.024577
26.593658,8.721548
25.739649,6.8937736
25.285301,6.209516
22.485598,4.494076
23.233839,6.4984303
23.269579,5.459254
21.102676,4.323262
24.040298,7.886241
23.854246,7.943697
22.095484,5.9605165
24.900148,7.347871
26.673256,9.210738
23.366919,6.227344
22.21585,4.631131
26.146805,11.007738
24.194328,10.764535
26.121393,10.472779
23.439705,5.069479
28.425684,11.930343
25.417786,9.140549
21.31646,6.2340975
24.906015,8.332524
22.378708,6.8584833
