date,meantemp,wind_speed,meanpressure,humidity
01-01-2013,10,0,1015.666667,84.5
02-01-2013,7.4,2.98,1017.8,92
03-01-2013,7.166666667,4.633333333,1018.666667,87
04-01-2013,8.666666667,1.233333333,1017.166667,71.33333333
05-01-2013,6,3.7,1016.5,86.83333333
06-01-2013,7,1.48,1018,82.8
07-01-2013,7,6.3,1020,78.6
08-01-2013,8.857142857,7.142857143,1018.714286,63.71428571
09-01-2013,14,12.5,1017,51.25
10-01-2013,11,7.4,1015.666667,62
11-01-2013,15.71428571,10.57142857,1016.142857,51.28571429
12-01-2013,14,13.22857143,1015.571429,74
13-01-2013,15.83333333,4.633333333,1013.333333,75.16666667
14-01-2013,12.83333333,0.616666667,1015.166667,88.16666667
15-01-2013,14.71428571,0.528571429,1015.857143,71.85714286
16-01-2013,13.83333333,0,1016.666667,86.66666667
17-01-2013,16.5,5.25,1015.833333,80.83333333
18-01-2013,13.83333333,8.95,1014.5,92.16666667
19-01-2013,12.5,5.883333333,1021.666667,76.66666667
20-01-2013,11.28571429,8.471428571,1020.285714,75.28571429
21-01-2013,11.2,2.22,1021,77
22-01-2013,9.5,3.083333333,1021.8,79.66666667
23-01-2013,14,4.016666667,1020.5,60.16666667
24-01-2013,13.83333333,6.166666667,1020.5,60.66666667
25-01-2013,12.25,5.55,1020.75,67
26-01-2013,12.66666667,6.8,1019.666667,64.16666667
27-01-2013,12.85714286,5.557142857,1018.142857,65.57142857
28-01-2013,14.83333333,3.7,1017.833333,56
29-01-2013,14.125,3.2375,1016.625,65.5
30-01-2013,14.71428571,1.057142857,1017.857143,70.42857143
31-01-2013,16.2,2.96,1018.4,65.6
01-02-2013,16,2.22,1016,73
02-02-2013,16.28571429,1.328571429,1017.142857,77.57142857
03-02-2013,18,1.857142857,1015.285714,65.57142857
04-02-2013,17.42857143,11.11428571,1014.571429,74.28571429
05-02-2013,16.625,9.725,1016.375,92.375
06-02-2013,16.66666667,8.633333333,1018.666667,71.33333333
07-02-2013,15.6,10.74,1018.6,59.4
08-02-2013,14,9.257142857,1017.142857,70.42857143
09-02-2013,15.42857143,9.257142857,1016.857143,61.28571429
10-02-2013,15.25,3.475,1017.125,71.5
11-02-2013,15.875,5.325,1016.5,70.5
12-02-2013,15.33333333,7.416666667,1017.5,70.33333333
13-02-2013,16.28571429,6.085714286,1016,70.14285714
14-02-2013,17.33333333,4.333333333,1014.166667,63.83333333
15-02-2013,19.16666667,10.18333333,1011.666667,65.33333333
16-02-2013,14.42857143,8.485714286,1008,92.71428571
17-02-2013,13.66666667,0,1012.666667,90
18-02-2013,15.6,12.22,1016.2,78.4
19-02-2013,15.85714286,5.814285714,1015.714286,82
20-02-2013,17.71428571,5.814285714,1017,74.71428571
21-02-2013,20,6.614285714,1015.428571,67.28571429
22-02-2013,20.5,10.875,1016,65.625
23-02-2013,17.42857143,9.257142857,1017,74.85714286
24-02-2013,16.85714286,7.4,1018.857143,78.85714286
25-02-2013,16.875,4.6375,1018.25,72.875
26-02-2013,17.85714286,17.5875,1015.142857,70
27-02-2013,20.8,6.66,1015.2,57.2
28-02-2013,19.42857143,12.95714286,1017.428571,52.85714286
01-03-2013,17.33333333,24.06666667,1016.333333,49.33333333
02-03-2013,19,15.725,1016.25,54
03-03-2013,19.33333333,8.633333333,1016.166667,62.83333333
04-03-2013,17.6,5.56,1015.8,71
05-03-2013,20.875,4.1625,1016.375,61.875
06-03-2013,20.85714286,6.871428571,1015.714286,65.28571429
07-03-2013,23.42857143,8.728571429,1015.285714,57.14285714
08-03-2013,24.16666667,7.1,1014.833333,44.83333333
09-03-2013,25.42857143,5.285714286,1009.285714,49.71428571
10-03-2013,23.14285714,4.228571429,1008,57.57142857
11-03-2013,24,0.933333333,1011.166667,66.33333333
12-03-2013,23.5,4.933333333,1011.5,62.5
13-03-2013,21.5,5.55,1009,70.5
14-03-2013,22.33333333,12.03333333,1013.166667,61.16666667
15-03-2013,24.16666667,7.716666667,1016.166667,45.83333333
16-03-2013,20.33333333,3.7,1016.166667,67.66666667
17-03-2013,22.66666667,8.95,1015,58.66666667
18-03-2013,23.42857143,17.45714286,1009.428571,58.14285714
19-03-2013,22.5,10.48333333,1011,73.66666667
20-03-2013,29.16666667,6.8,1009.5,36.33333333
21-03-2013,23.83333333,10.5,1008.333333,58.5
22-03-2013,25.25,9.7125,1006.375,50.25
23-03-2013,27.375,9.95,1007.625,50.125
24-03-2013,27,10.8875,1010.25,48.75
25-03-2013,23.5,15.9625,1010.625,45.5
26-03-2013,24.14285714,12.95714286,1008.857143,44.57142857
27-03-2013,21,1.85,1009,62
28-03-2013,22.42857143,7.414285714,1009.571429,62.71428571
29-03-2013,21.25,5.55,1009.75,70.375
30-03-2013,23.5,11.1125,1008.625,54.75
31-03-2013,23.2,6.66,1008.6,58
01-04-2013,25.375,4.4,1008.5,45.5
02-04-2013,25.16666667,8.65,1009.5,51
03-04-2013,26.2,8.14,1009,45.6
04-04-2013,24.6,11.12,1007.8,41.8
05-04-2013,25.6,15.56,1007,31
06-04-2013,25.85714286,11.9,1006.142857,29.85714286
07-04-2013,29.14285714,10.31428571,1005,23.28571429
08-04-2013,28.71428571,5.3,1006,33.85714286
09-04-2013,30.16666667,8.65,1005.333333,30.5
10-04-2013,30,6.1,1006.714286,28
11-04-2013,30,7.78,1006.4,24.2
12-04-2013,28.85714286,6.342857143,1007.571429,32.57142857
13-04-2013,30.2,10,1008.4,29.2
14-04-2013,28.25,6.4875,1007,39.375
15-04-2013,28.25,6.25,1003.875,41.375
16-04-2013,32.125,10.425,1000,24.625
17-04-2013,29.2,6.66,1002.2,24.2
18-04-2013,30.28571429,4.757142857,1002.857143,30.28571429
19-04-2013,28.28571429,3.971428571,1002.571429,31.28571429
20-04-2013,30.625,7.6375,1003.375,29
21-04-2013,27.66666667,13.88333333,1006.833333,38.66666667
22-04-2013,27.375,7.65,1010,45.375
23-04-2013,28.625,4.625,1009.875,44.125
24-04-2013,30.28571429,2.114285714,1008.571429,41.71428571
25-04-2013,31.14285714,3.7,1007.714286,38.28571429
26-04-2013,29.875,6.7125,1008.375,45.875
27-04-2013,31.14285714,13.48571429,1007,31.42857143
28-04-2013,30.57142857,12.97142857,1005.428571,28
29-04-2013,32.125,7.875,1004.875,26.375
30-04-2013,31.14285714,7.928571429,1004.857143,32
01-05-2013,31.85714286,12.68571429,1002.833333,15.85714286
02-05-2013,29.83333333,11.43333333,1001.2,22.16666667
03-05-2013,28.57142857,9,999.4285714,31.57142857
04-05-2013,32.85714286,2.914285714,999,31.42857143
05-05-2013,32.625,3.0125,1000.625,31.125
06-05-2013,32.75,3.7,1001.625,39.25
07-05-2013,32.875,7.175,1002,33.25
08-05-2013,34.5,9.25,1001.166667,23
09-05-2013,34.28571429,8.985714286,1000.857143,26
10-05-2013,34,9.528571429,1000.142857,27.71428571
11-05-2013,30.75,14.8125,999.875,30.375
12-05-2013,29.85714286,5.828571429,1003.714286,40.14285714
13-05-2013,31.71428571,3.971428571,1003.571429,34
14-05-2013,32.28571429,4.771428571,1001.571429,34.28571429
15-05-2013,33,3.2375,999.8571429,33
16-05-2013,33,7.175,998.5,34.75
17-05-2013,32.83333333,9.866666667,1000.333333,28.16666667
18-05-2013,31.4,12.96666667,999,42.2
19-05-2013,35.33333333,15.75,999.6666667,22.33333333
20-05-2013,36.4,7.4,998.4,24.2
21-05-2013,36,11.37142857,998.6666667,19
22-05-2013,36.75,17.5875,998.625,22.125
23-05-2013,37.5,13.56666667,997.1666667,23.33333333
24-05-2013,38.42857143,11.38571429,996.4285714,27.42857143
25-05-2013,38.71428571,10.31428571,998.1428571,22.42857143
